Date,Description,Bonus,Amount
24 JUN 2019 07:12,Shell Marietta - Marie's,$0.99,$64.10
25 JUN 2019 17:55,Downson's Market - Atlanta,$0.59,$87.22
25 JUN 2019 09:22,KMART - GA,$0.80,$106.90
2 JUL 2019 18:12,Florida Shadow Hotel,$1.25,$90.00
3 JUL 2019 21:12,Cafe de'Orient - FL,$0.02,$12.20
3 JUL 2019 12:54,Yuen Shirts,$1.01,$59.10
10 JUL 2019 08:10,Delta Airlines,$2.00,$120.00
11 JUL 2019 19:01,Publix - Marietta,$0.40,$82.99
13 JUL 2019 08:11,Jiffy Lube,$0.10,$40.20
15 JUL 2019 07:40,Starbucks Roswell Road,$0.04,$8.10
,TOTAL AMOUNT,$7.20,$670.81
